OID_,Join_Count,LILATracts,LILATrac_1,LILATrac_2,LILATrac_3,MedianFami,TractHUNV,TractSNAP,FIPS,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,RPL_THEMES,OBESITY_CrudePrev,Shape_Length,Shape_Area
920,5,0,1,0,1,43.2,414,317,6037236100,0.8374,0.755,0.7113,0.6788,0.8104,35.1,0.058715574,0.000110083
921,6,0,1,0,1,25.9,436,304,6037219500,0.4527,0.6648,0.63,0.0872,0.3704,24.1,0.037500258,5.42379E-05
922,5,0,1,0,1,33.2,331,386,6037234700,0.7432,0.8052,0.8066,0.7638,0.8292,33.6,0.064015451,7.24251E-05
923,5,0,0,0,0,29,93,75,6037222001,0.725,0.3701,0.8286,0.6221,0.703,30.3,0.028075375,4.62961E-05
924,8,0,0,0,0,34.1,189,261,6037221120,0.9277,0.5267,0.9923,0.8289,0.9225,32.5,0.023123797,3.11832E-05
925,4,0,0,0,0,33,236,151,6037221601,0.8872,0.6369,0.887,0.8842,0.9199,31.8,0.043144513,3.60995E-05
926,5,0,0,0,0,34,182,173,6037221401,0.7871,0.9596,0.8003,0.9511,0.9619,33.7,0.029356954,5.26693E-05
927,2,0,0,0,0,16,546,192,6037301601,0.5946,0.4316,0.6092,0.9669,0.746,25.24,0.007930067,3.51048E-08
928,7,0,0,0,0,21.3,364,43,6037208710,0.4514,0.2212,0.9088,0.7855,0.6291,17.5,0.022085497,1.62927E-05
929,3,0,1,0,0,55.7,62,84,6037572800,0.9536,0.7666,0.3312,0.9635,0.9007,30.1,0.000446276,2.73758E-09
930,7,0,0,0,0,11.4,48,24,6037104403,0.8708,0.4504,0.9639,0.3107,0.724,28.7,0.059236183,6.76587E-05
931,6,0,0,0,0,14.9,0,3,6037106603,0.174,0.2418,0.275,0.0805,0.098,18.8,0.158572896,0.001011394
932,3,0,0,0,0,9.3,226,129,6037106510,0.3236,0.7708,0.6566,0.8608,0.6474,23.9,0.130637275,0.000558828
933,5,0,0,0,0,10.3,72,43,6037125402,0.4043,0.0078,0.3503,0.3209,0.1503,22.5,0.036522247,6.76056E-05
